nom;adresse;cp;commune;code_insee;nb_ruches;Longitude;Latitude
45012060;LESZ VALOTS;18410;CLEMONT;18067;12;2.33284;47.5403
45001430;La Brosse;18260;CONCRESSAULT;18070;1;2.57434;47.4851
45001430;Le Mouton;18260;SURY ES BOIS;18259;1;2.70635;47.4702
45001430;Le Grand Crot;18410;BLANCAFORT;18030;1;2.60493;47.5276
45001430;Les Vachers;18260;CONCRESSAULT;18070;1;2.55452;47.5013
45001430;La Charmille;18410;BRINON SUR SAULDRE;18037;12;2.23904;47.6154
45001430;Les Janvres;18410;BLANCAFORT;18030;8;2.54869;47.526
45001430;La Mercandière;18260;DAMPIERRE EN CROT;18084;8;2.56355;47.4533
45000404;Puy Ferrand   1;18340;ARCAY;18008;17;2.32379;46.9687
45000404;La Paillonnerie;18120;LAZENAY;18124;17;2.12243;47.0524
45000404;Puy Ferrand   2;18340;ARCAY;18008;23;2.32379;46.9687
45000404;Le Crezay;18400;PRIMELLES;18188;29;2.19862;46.8993
45000404;Bois Bourbon;18290;CIVRAY;18066;40;2.20198;46.9505
45000404;Lhuys;18410;BRINON SUR SAULDRE;18037;57;2.19775;47.5509
45000404;Le Grand Bail;18400;VILLENEUVE SUR CHER;18285;6;2.22578;47.0526
45000397;Les Cherriers;18410;CLEMONT;18067;3;2.34709;47.5762
45000292;RTE DE LA CHAPELOTTE;18700;AUBIGNY SUR NERE;18015;15;2.45286;47.4808
45000292;RTE DE ISDES;18410;CLEMONT;18067;30;2.30719;47.5771
45000292;RTE DE CERDON;18410;BRINON SUR SAULDRE;18037;30;2.2515;47.5627
45000151;LA PLAUTE;18410;BLANCAFORT;18030;2;2.52925;47.5361
45000013;chassagne 3  le pont ;18700;AUBIGNY SUR NERE;18015;38;2.43109;47.4899
45000013;Chassagne 2  prairie ;18700;AUBIGNY SUR NERE;18015;44;2.43692;47.4955
45000013;La Haye;18410;BLANCAFORT;18030;48;2.51382;47.5512
45000013;gué perrin;18410;CLEMONT;18067;48;2.34703;47.5624
45000013;les racoeurs;18700;OIZON;18170;48;2.48606;47.4961
45000013;Les Roujoux;18410;CLEMONT;18067;48;2.33638;47.5584
